,potential,dnn,dim,s,d,energySMSE,profile,regime,cps,source,type,num,error
0,glb,2.0,56.56854249492381,0.01,-0.5,0.0161115135946349,"[65.92307692307692, 18.076923076923077, 8.538461538461538, 4.923076923076923, 3.076923076923077, 2.3076923076923075, 2.0, 1.6923076923076923, 1.3846153846153846, 1.2307692307692308, 1.2307692307692308, 1.2307692307692308, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156]",coherent,15.565211609152978,experiment,,,
1,glb,2.0,56.56854249492381,0.01,-1.0,0.0359008318952369,"[71.15384615384616, 18.46153846153846, 7.769230769230769, 4.153846153846154, 2.3846153846153846, 1.6923076923076923, 1.3846153846153846, 1.3076923076923077, 1.3076923076923077, 1.2307692307692308, 1.1538461538461537, 1.1538461538461537, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6923076923076923, 0.6153846153846154, 0.6153846153846154, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464]",coherent,15.005292333723766,experiment,,,
2,glb,2.0,56.56854249492381,0.01,-1.5,0.060063698506856,"[67.46153846153847, 19.0, 8.538461538461538, 5.076923076923077, 3.769230769230769, 2.769230769230769, 2.4615384615384617, 2.1538461538461537, 2.0, 1.8461538461538463, 1.4615384615384615, 1.4615384615384615, 1.4615384615384615, 1.2307692307692308, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6923076923076923, 0.6153846153846154, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.3076923076923077]",coherent,16.11012649180732,experiment,,,
3,glb,2.0,56.56854249492381,0.01,-2.0,0.0767914613346517,"[66.07692307692308, 17.384615384615383, 8.0, 5.153846153846154, 3.8461538461538463, 2.769230769230769, 2.4615384615384617, 1.9230769230769231, 1.7692307692307692, 1.6153846153846154, 1.4615384615384615, 1.3076923076923077, 1.3076923076923077, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6153846153846154, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384]",coherent,15.746453403629216,experiment,,,
4,glb,2.0,56.56854249492381,0.01,-2.5,0.0977608976856985,"[68.53846153846153, 17.46153846153846, 7.461538461538462, 4.3076923076923075, 2.4615384615384617, 1.9230769230769231, 1.5384615384615385, 1.3076923076923077, 1.2307692307692308, 1.2307692307692308, 1.2307692307692308, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6153846153846154, 0.5384615384615384, 0.5384615384615384, 0.46153846153846156]",coherent,14.95855391334982,experiment,,,
5,glb,2.0,56.56854249492381,0.01,-3.0,0.1277985660255701,"[67.15384615384616, 16.692307692307693, 6.615384615384615, 4.076923076923077, 2.8461538461538463, 1.9230769230769231, 1.6153846153846154, 1.5384615384615385, 1.3076923076923077, 1.2307692307692308, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923]",coherent,14.837041633907916,experiment,,,
6,glb,2.0,56.56854249492381,0.01,-3.5,0.1378067670318669,"[68.6923076923077, 16.76923076923077, 8.076923076923077, 4.538461538461538, 3.230769230769231, 2.6923076923076925, 2.1538461538461537, 1.8461538461538463, 1.3846153846153846, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.7692307692307693, 0.7692307692307693, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154]",coherent,15.385046417133069,experiment,,,
7,glb,2.0,56.56854249492381,0.01,-4.0,0.1557074386396923,"[68.38461538461539, 15.538461538461538, 6.615384615384615, 3.8461538461538463, 2.6923076923076925, 1.6923076923076923, 1.3076923076923077, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.8461538461538461, 0.8461538461538461, 0.7692307692307693]",coherent,14.437886190026976,experiment,,,
8,glb,2.0,56.56854249492381,0.01,0.01,0.0098576277822082,"[140.6153846153846, 38.84615384615385, 13.692307692307692, 4.6923076923076925, 1.5384615384615385, 0.46153846153846156, 0.15384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",random,16.902274456364086,experiment,,,
9,glb,2.0,56.56854249492381,0.01,0.5,0.0183980799180555,"[70.84615384615384, 19.307692307692307, 8.615384615384615, 5.461538461538462, 4.153846153846154, 3.1538461538461537, 2.3846153846153846, 2.1538461538461537, 1.7692307692307692, 1.6923076923076923, 1.6923076923076923, 1.6153846153846154, 1.4615384615384615, 1.3076923076923077, 1.3076923076923077, 1.2307692307692308, 1.2307692307692308, 1.2307692307692308, 1.1538461538461537, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0769230769230769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.7692307692307693, 0.6923076923076923, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077]",coherent,16.464767954208448,experiment,,,
